[[1625.0], [2965.0], [67.0], [0.3900000000000001], [0.41000000000000014], [3.0], [3.0], [3.0], [3.0]]
[[937.0], [1917.0], [63.44444444444444], [0.3900000000000001], [0.41000000000000014], [3.0], [3.0], [3.0], [3.0]]
[[1737.0], [3117.0], [76.07960181417134], [0.3909017815665714], [0.40909821843342886], [3.0], [3.0], [3.0], [3.0]]
[[1057.0], [2077.0], [103.00191492608644], [0.3909004504405371], [0.40909954955946315], [3.0], [3.0], [3.0], [3.0]]
[[1623.200875955421], [2962.6008670497768], [108.09186661539937], [0.3900296290993155], [0.4099703709006848], [3.0], [3.0], [3.0], [3.0]]
[[937.6008934666519], [1918.200891212548], [70.50491752139811], [0.3900027704788136], [0.40999722952118667], [3.0], [3.0], [3.0], [3.0]]
[[1735.2013038312894], [3114.6014430829628], [75.64267221128766], [0.39093010985647636], [0.4090698901435239], [3.0], [3.0], [3.0], [3.0]]
[[1057.6009359591774], [2078.2009475580203], [102.52600870376374], [0.390902977087213], [0.40909702291278727], [3.0], [3.0], [3.0], [3.0]]
[[1621.4035694829738], [2960.203558179493], [107.58480667621708], [0.3900453210065673], [0.40995467899343296], [3.0], [3.0], [3.0], [3.0]]
[[938.2035904695048], [1919.4035871810968], [70.10035186664487], [0.3900054243285971], [0.4099945756714032], [3.0], [3.0], [3.0], [3.0]]
[[1733.4042244416678], [3112.2044397653417], [75.2070413228694], [0.3909460315663442], [0.40905396843365605], [3.0], [3.0], [3.0], [3.0]]
[[1058.2036738898669], [2079.4036977234464], [102.051234370374], [0.39090564999556987], [0.4090943500044304], [3.0], [3.0], [3.0], [3.0]]
[[1619.6080599144852], [2957.8080450662837], [107.07890012731352], [0.3900565236342435], [0.4099434763657568], [3.0], [3.0], [3.0], [3.0]]
[[938.8080871959378], [1920.608082777866], [69.69686149963552], [0.3900082255890749], [0.4099917744109254], [3.0], [3.0], [3.0], [3.0]]
[[1731.6088766486446], [3109.8091444567335], [74.77267669329696], [0.3909574998657601], [0.40904250013424015], [3.0], [3.0], [3.0], [3.0]]
[[1058.8082138098662], [2080.6082505198096], [101.57753131187472], [0.3909084709877102], [0.40909152901229007], [3.0], [3.0], [3.0], [3.0]]
[[1617.81434675946], [2955.4143270382315], [106.57414709296924], [0.390063736978298], [0.4099362630217023], [3.0], [3.0], [3.0], [3.0]]
[[939.4143836361911], [1921.8143779897284], [69.29452821477713], [0.3900111749605215], [0.40998882503947875], [3.0], [3.0], [3.0], [3.0]]
[[1729.8152671536295], [3107.4155661697023], [74.33957604401293], [0.3909637996877735], [0.40903620031222676], [3.0], [3.0], [3.0], [3.0]]
[[1059.4145557195861], [2081.814605947646], [101.10485736780325], [0.390911441829354], [0.40908855817064627], [3.0], [3.0], [3.0], [3.0]]
[[1616.0224459172114], [2953.0224258839858], [106.07054171794763], [0.3900668374676992], [0.40993316253230105], [3.0], [3.0], [3.0], [3.0]]
[[940.0224797650511], [1923.0224727827729], [68.89334033609347], [0.39001427157514756], [0.4099857284248527], [3.0], [3.0], [3.0], [3.0]]
[[1728.023411246459], [3105.0237254666026], [73.90773447880741], [0.3909669878327686], [0.40903301216723165], [3.0], [3.0], [3.0], [3.0]]
[[1060.0226995786193], [2083.0227639535096], [100.63328111052581], [0.39091456288007764], [0.4090854371199226], [3.0], [3.0], [3.0], [3.0]]
[[1614.2323438927451], [2950.6323231096453], [105.56808875509968], [0.39006806988785536], [0.4099319301121449], [3.0], [3.0], [3.0], [3.0]]
[[940.6323755395035], [1924.2323670991445], [68.49329514158958], [0.39001751209880053], [0.40998248790119973], [3.0], [3.0], [3.0], [3.0]]
[[1726.2333269622789], [3102.6336466015396], [73.47714632173373], [0.39096817708306864], [0.40903182291693163], [3.0], [3.0], [3.0], [3.0]]
[[1060.6326452893086], [2084.232724408236], [100.16276499493806], [0.390917831614892], [0.40908216838510825], [3.0], [3.0], [3.0], [3.0]]
[[1612.4440424504269], [2948.2440211330972], [105.06678739011747], [0.39006839600967824], [0.409931603990322], [3.0], [3.0], [3.0], [3.0]]
